firm_id,firm_name,primary_category,uk_relevance,hq_region,priority_tier,fit_relevance,careers_url,canonical_platform,canonical_feed_url,alternate_endpoints_json,search_aliases_json,scrape_status,scrape_method,search_enabled,feed_enabled,uk_only_expected,notes,last_validated_at
allica-bank,Allica Bank,Bank,UK-HQ,United Kingdom,Tier1,Core,https://careers.allica.bank/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
atom-bank,Atom Bank,Bank,UK-Presence,Global,Tier1,Core,https://www.atombank.co.uk/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
bank-of-america,Bank of America,Bank,UK-Presence,Global,Tier1,Core,https://careers.bankofamerica.com/,Custom,,[],[],covered,html,true,true,true,Careers site; Bank of America careers; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
banking-circle,Banking Circle,Bank,UK-Presence,Global,Tier1,Core,https://www.bankingcircle.com/careers,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
barclays,Barclays,Bank,UK-HQ,United Kingdom,Tier1,Core,https://jobs.smartrecruiters.com/Barclays,SmartRecruiters,https://api.smartrecruiters.com/v1/companies/Barclays/postings,"[{""platform"": ""Custom"", ""careers_url"": ""https://search.jobs.barclays/"", ""feed_url"": """", ""workday_entry"": """", ""source"": ""Barclays careers""}]",[],covered,api,true,true,true,ATS feed from internal company list; internal_smartrecruiters_list; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters,
bnp-paribas,BNP Paribas,Bank,UK-Presence,Global,Tier1,Core,https://jobs.smartrecruiters.com/BNPParibas,SmartRecruiters,https://api.smartrecruiters.com/v1/companies/BNPParibas/postings,"[{""platform"": ""Custom"", ""careers_url"": ""https://usa.bnpparibas/en/homepage/join-us/"", ""feed_url"": """", ""workday_entry"": """", ""source"": ""BNP Paribas careers""}]","[""BNPParibas""]",covered,api,true,true,true,ATS feed from internal company list; internal_smartrecruiters_list; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters,
clearbank,ClearBank,Bank,UK-HQ,United Kingdom,Tier1,Core,https://boards.greenhouse.io/clearbank,Greenhouse,https://boards-api.greenhouse.io/v1/boards/clearbank/jobs,[],"[""Clearbank""]",covered,api,true,true,true,ATS feed from internal board list; internal_greenhouse_list; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse; Greenhouse,
co-operative-bank,Co-operative Bank,Bank,UK-Presence,Global,Tier1,Core,https://www.co-operativebank.co.uk/careers/,Custom,,[],[],covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
cr-dit-agricole,Crédit Agricole,Bank,UK-Presence,Global,Tier1,Core,https://www.ca-cib.com/en/careers,Custom,,[],"[""Credit Agricole""]",covered,html,true,true,true,Curated direct careers page; CuratedCustom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom; Custom,
deutsche-bank,Deutsche Bank,Bank,UK-Presence,Global,Tier1,Core,https://jobs.smartrecruiters.com/DeutscheBank,SmartRecruiters,https://api.smartrecruiters.com/v1/companies/DeutscheBank/postings,"[{""platform"": ""Custom"", ""careers_url"": ""https://careers.db.com/"", ""feed_url"": """", ""workday_entry"": """", ""source"": ""Deutsche Bank careers""}]","[""DeutscheBank""]",covered,api,true,true,true,ATS feed from internal company list; internal_smartrecruiters_list; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters; SmartRecruiters,
